Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
CORBL,Corporate Development Bank Limited,Development Banks,2024-12-03,2025-12-03,226,2842.3,1240.0,1700.0,2847208,5781277123.05
CREST,Crest Micro Life Insurance Limited,Life Insurance,2025-04-10,2025-12-03,145,2458.2,302.5,1263.0,3026786,4651189538.9
CYCL,CYC Nepal laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,2040.0,1462.2,1533.0,1213962,2061207383.4
CZBIL,Citizens Bank International Limited,Commercial Banks,2024-12-03,2025-12-03,226,240.1,183.0,196.0,16989730,3643039493.7
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1010.0,759.0,875.0,3109759,2696554997.7
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,2024-12-03,2025-12-03,226,427.2,265.0,300.0,9787821,3428879437.3
DLBS,Dhaulagiri laghubitta Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,2250.0,1240.0,1365.0,597799,986638921.4
DOLTI,Dolti Power Company Ltd.,Hydro Power,2024-12-03,2025-12-03,226,1017.0,470.6,532.0,5115423,3626487897.48
DORDI,Dordi Khola Jal Bidyut Company limited,Hydro Power,2024-12-03,2025-12-03,226,696.0,213.1,265.0,19453676,6968088789.5
EBL,Everest Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,780.6,570.0,644.0,15063720,10219210048.05
EBLD86,Everest Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1136.2,1010.2,1101.0,19752,20922445.94
EBLD91,Everest Bank Limited,Commercial Banks,2025-04-22,2025-12-03,138,1133.0,0.0,1107.0,39558,41845221.4
EBLEB89,Everest Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1110.0,0.0,1092.4,5048,5240145.4
EDBL,Excel Development Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,838.2,530.7,575.3,9328141,6136312678.4
ENL,Emerging nepal limited,Investment,2024-12-03,2025-12-03,226,1452.0,866.0,937.0,900802,1074973027.4
FHL,Fleur Himalayan Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,75.0,75.0,75.0,0,0.0
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1038.8,712.0,824.0,12374553,10627429796.9
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1370.0,1043.8,1119.0,883867,1051847069.1
GBBD85,Garima Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,1135.0,1010.0,1093.1,62157,67374699.0
GBBL,Garima Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,498.0,367.4,380.8,11128653,4718254526.0
GBILD84/85,Global IME Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1220.0,1104.0,1145.0,73967,85766430.3
GBILD86/87,Global IME Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1134.0,994.0,1134.0,53512,58069787.1
GBIME,Global IME Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,278.9,210.7,225.0,42333997,10149862212.99
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,2024-12-03,2025-12-03,226,987.0,698.0,780.0,2250482,1915001855.7
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,613.0,400.0,458.1,11707905,6112449215.05
GFCL,Goodwill Finance Limited,Finance,2024-12-03,2025-12-03,226,946.0,528.3,598.9,6294393,4517000201.33
GHL,Ghalemdi Hydro Limited,Hydro Power,2024-12-03,2025-12-03,226,318.0,197.0,212.5,50762457,13308309478.2
GIBF1,Global IME Balanced Fund-1,Mutual Fund,2024-12-03,2025-12-03,226,11.68,9.3,10.3,27476323,289813197.81
