Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-05,910.0,896.2,909.0,1862,1678437.6,41
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-06,924.0,900.1,903.0,972,882988.0,19
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-09,910.0,896.4,900.0,4454,4023098.0,50
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-10,917.9,898.0,900.0,3133,2820436.0,33
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-11,906.0,894.0,906.0,1552,1393703.7,32
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-12,900.0,880.1,885.0,3652,3245914.4,67
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-13,902.0,884.0,884.0,930,824213.0,24
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-16,885.0,870.0,884.0,2734,2405928.4,45
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-17,894.0,874.0,875.0,1480,1299265.0,28
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-18,890.0,873.0,889.0,2265,1999582.0,40
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-19,903.0,868.0,900.0,3000,2651276.4,63
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-20,899.0,877.1,894.6,1120,987269.0,35
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-23,909.6,890.0,901.0,1464,1316957.7,33
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-24,908.0,890.2,905.0,2958,2667502.6,62
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-25,923.1,896.0,909.9,2656,2405672.9,57
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-26,920.0,905.1,920.0,2506,2297214.9,69
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-27,931.0,903.1,914.0,6970,6346547.8,98
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-11-30,915.0,878.1,878.1,13170,11754593.0,169
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-12-01,895.6,874.0,883.0,2759,2432311.5,38
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-12-02,887.0,866.0,884.0,5885,5139840.5,84
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2025-12-03,901.6,880.0,890.0,2731,2425730.5,47
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-03,993.4,962.5,972.0,29306,28487061.5,289
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-04,979.0,953.0,953.0,29329,28350754.2,307
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-05,965.0,935.0,935.3,36805,34742775.5,421
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-08,950.0,921.0,935.0,25162,23427718.6,301
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-09,948.0,925.0,926.0,14936,13876300.3,194
